oid,description
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.1,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.2,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.3,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.4,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.5,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.6,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.7,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.8,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.9,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.10,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.11,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.12,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.13,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.14,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.15,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.16,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.17,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.18,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.19,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.20,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.21,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.22,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.23,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.5.1.1.2.24,The name of the outlet The maximum string size is device dependent This OID is provided for informational purposes only
.1.3.6.1.2.1.1.1.0,A textual description of the entity This value should include the full name and version identification of the systems hardware type software operatingsystem and networking software
.1.3.6.1.2.1.1.2.0,The vendors authoritative identification of the network management subsystem contained in the entity This value is allocated within the SMI enterprises subtree 136141 and provides an easy and unambiguous means for determining what kind of box is being managed For example if vendor Flintstones Inc was assigned the subtree 136141424242 it could assign the identifier 13614142424211 to its Fred Router
.1.3.6.1.2.1.1.3.0,Aucune description
.1.3.6.1.2.1.1.4.0,The textual identification of the contact person for this managed node together with information on how to contact this person If no contact information is known the value is the zerolength string
.1.3.6.1.2.1.1.5.0,An administrativelyassigned name for this managed node By convention this is the nodes fullyqualified domain name If the name is unknown the value is the zerolength string
.1.3.6.1.2.1.1.6.0,The physical location of this node eg telephone closet 3rd floor If the location is unknown the value is the zerolength string
.1.3.6.1.2.1.1.7.0,A value which indicates the set of services that this entity may potentially offer The value is a sum This sum initially takes the value zero Then for each layer L in the range 1 through 7 that this node performs transactions for 2 raised to L 1 is added to the sum For example a node which performs only routing functions would have a value of 4 231 In contrast a node which is a host offering application services would have a value of 72 241 271 Note that in the context of the Internet suite of protocols values should be calculated accordingly layer functionality 1 physical eg repeaters 2 datalinksubnetwork eg bridges 3 internet eg supports the IP 4 endtoend eg supports the TCP 7 applications eg supports the SMTP For systems including OSI protocols layers 5 and 6 may also be counted
.1.3.6.1.2.1.1.8.0,The value of sysUpTime at the time of the most recent change in state or value of any instance of sysORID
.1.3.6.1.2.1.1.9.1.2.1,An authoritative identification of a capabilities statement with respect to various MIB modules supported by the local SNMP application acting as a command responder
.1.3.6.1.2.1.1.9.1.2.2,An authoritative identification of a capabilities statement with respect to various MIB modules supported by the local SNMP application acting as a command responder
.1.3.6.1.2.1.1.9.1.2.3,An authoritative identification of a capabilities statement with respect to various MIB modules supported by the local SNMP application acting as a command responder
.1.3.6.1.2.1.1.9.1.2.4,An authoritative identification of a capabilities statement with respect to various MIB modules supported by the local SNMP application acting as a command responder
.1.3.6.1.2.1.1.9.1.2.5,An authoritative identification of a capabilities statement with respect to various MIB modules supported by the local SNMP application acting as a command responder
.1.3.6.1.2.1.1.9.1.3.1,A textual description of the capabilities identified by the corresponding instance of sysORID
.1.3.6.1.2.1.1.9.1.3.2,A textual description of the capabilities identified by the corresponding instance of sysORID
.1.3.6.1.2.1.1.9.1.3.3,A textual description of the capabilities identified by the corresponding instance of sysORID
.1.3.6.1.2.1.1.9.1.3.4,A textual description of the capabilities identified by the corresponding instance of sysORID
.1.3.6.1.2.1.1.9.1.3.5,A textual description of the capabilities identified by the corresponding instance of sysORID
.1.3.6.1.2.1.1.9.1.4.1,The value of sysUpTime at the time this conceptual row was last instantiated
.1.3.6.1.2.1.1.9.1.4.2,The value of sysUpTime at the time this conceptual row was last instantiated
.1.3.6.1.2.1.1.9.1.4.3,The value of sysUpTime at the time this conceptual row was last instantiated
.1.3.6.1.2.1.1.9.1.4.4,The value of sysUpTime at the time this conceptual row was last instantiated
.1.3.6.1.2.1.1.9.1.4.5,The value of sysUpTime at the time this conceptual row was last instantiated
.1.3.6.1.2.1.2.1.0,The number of network interfaces regardless of their current state present on this system
.1.3.6.1.2.1.2.2.1.1.1,A unique value greater than zero for each interface It is recommended that values are assigned contiguously starting from 1 The value for each interface sublayer must remain constant at least from one reinitialization of the entitys network management system to the next re initialization
.1.3.6.1.2.1.2.2.1.1.2,A unique value greater than zero for each interface It is recommended that values are assigned contiguously starting from 1 The value for each interface sublayer must remain constant at least from one reinitialization of the entitys network management system to the next re initialization
.1.3.6.1.2.1.2.2.1.2.1,A textual string containing information about the interface This string should include the name of the manufacturer the product name and the version of the interface hardwaresoftware
.1.3.6.1.2.1.2.2.1.2.2,A textual string containing information about the interface This string should include the name of the manufacturer the product name and the version of the interface hardwaresoftware
.1.3.6.1.2.1.2.2.1.3.1,The type of interface Additional values for ifType are assigned by the Internet Assigned Numbers Authority IANA through updating the syntax of the IANAifType textual convention
.1.3.6.1.2.1.2.2.1.3.2,The type of interface Additional values for ifType are assigned by the Internet Assigned Numbers Authority IANA through updating the syntax of the IANAifType textual convention
